id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
1,OSS1,1,turbine,35.6220842,-121.8913992,1,0,1,0,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-4180.924737,5858.513594,-4180.924737,5858.513594,2.976642502,0
2,OSS1,2,turbine,35.60405836,-121.8913888,1,1,1,1,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-4180.924737,3858.513594,-4180.924737,3858.513594,2.152687793,0
3,OSS1,3,turbine,35.58603248,-121.8913785,1,2,1,2,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-4180.924737,1858.513594,-4180.924737,1858.513594,2.152700025,0
4,OSS1,4,turbine,35.56800654,-121.8913682,1,3,1,3,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-4180.924737,-141.4864064,-4180.924737,-141.4864064,2.152712256,0
5,OSS1,5,turbine,35.54998054,-121.8913578,1,4,1,4,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-4180.924737,-2141.486406,-4180.924737,-2141.486406,2.152675603,0
6,OSS1,6,turbine,35.53195449,-121.8913475,1,5,1,5,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-4180.924737,-4141.486406,-4180.924737,-4141.486406,2.152687834,0
7,OSS1,7,turbine,35.51392839,-121.8913372,1,6,1,6,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-4180.924737,-6141.486406,-4180.924737,-6141.486406,2.152700066,0
8,OSS1,8,turbine,35.49590223,-121.8913269,1,7,1,7,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-4180.924737,-8141.486406,-4180.924737,-8141.486406,2.152712297,0
9,OSS1,9,turbine,35.61168342,-121.8693191,0,0,0,0,0,15MW_core_wind_floating_103.yaml,array_core_wind.yaml,-2180.924737,4703.813594,-2180.924737,4703.813594,2.976642728,0
10,OSS1,10,turbine,35.59365755,-121.8693137,0,1,0,1,0,15MW_core_wind_floating_103.yaml,array_core_wind.yaml,-2180.924737,2703.813594,-2180.924737,2703.813594,2.152686897,0
11,OSS1,11,turbine,35.57563163,-121.8693083,0,2,0,2,0,15MW_core_wind_floating_103.yaml,array_core_wind.yaml,-2180.924737,703.8135936,-2180.924737,703.8135936,2.152700245,0
12,OSS1,12,turbine,35.55760565,-121.8693029,0,3,0,3,0,15MW_core_wind_floating_103.yaml,array_core_wind.yaml,-2180.924737,-1296.186406,-2180.924737,-1296.186406,2.152711361,0
13,OSS1,13,turbine,35.53957962,-121.8692975,0,4,0,4,0,15MW_core_wind_floating_103.yaml,array_core_wind.yaml,-2180.924737,-3296.186406,-2180.924737,-3296.186406,2.152675621,0
14,OSS1,14,turbine,35.52155354,-121.8692921,0,5,0,5,0,15MW_core_wind_floating_103.yaml,array_core_wind.yaml,-2180.924737,-5296.186406,-2180.924737,-5296.186406,2.152687853,0
15,OSS1,15,turbine,35.5035274,-121.8692867,0,6,0,6,0,15MW_core_wind_floating_103.yaml,array_core_wind.yaml,-2180.924737,-7296.186406,-2180.924737,-7296.186406,2.152700084,0
16,OSS1,16,turbine,35.48550121,-121.8692814,0,7,0,7,0,15MW_core_wind_floating_103.yaml,array_core_wind.yaml,-2180.924737,-9296.186406,-2180.924737,-9296.186406,2.152712316,0
17,OSS1,17,turbine,35.62209302,-121.8472451,2,0,2,0,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-180.9247368,5858.513594,-180.9247368,5858.513594,2.976642533,0
18,OSS1,18,turbine,35.60406718,-121.8472447,2,1,2,1,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-180.9247368,3858.513594,-180.9247368,3858.513594,2.152681301,0
19,OSS1,19,turbine,35.58604129,-121.8472443,2,2,2,2,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-180.9247368,1858.513594,-180.9247368,1858.513594,2.152687977,0
20,OSS1,20,turbine,35.56801534,-121.8472438,2,3,2,3,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-180.9247368,-141.4864064,-180.9247368,-141.4864064,2.152693533,0
21,OSS1,21,turbine,35.54998934,-121.8472434,2,4,2,4,0,15MW_core_wind_floating_213.yaml,array_core_wind.yaml,-180.9247368,-2141.486406,-180.9247368,-2141.486406,2.152700209,0
